Time_hours,Concentration_D50_mgL,Above_Warning_0.1,Above_Stop_0.3
0,0,FALSE,FALSE
0.0275,0,FALSE,FALSE
0.055,0,FALSE,FALSE
0.0825,0,FALSE,FALSE
0.11,0,FALSE,FALSE
0.1375,0,FALSE,FALSE
0.165,0,FALSE,FALSE
0.1925,0,FALSE,FALSE
0.22,0,FALSE,FALSE
0.2475,0,FALSE,FALSE
0.275,0,FALSE,FALSE
0.3025,0,FALSE,FALSE
0.33,0,FALSE,FALSE
0.3575,0,FALSE,FALSE
0.385,0,FALSE,FALSE
0.4125,0,FALSE,FALSE
0.44,0,FALSE,FALSE
0.4675,0,FALSE,FALSE
0.495,0,FALSE,FALSE
0.5225,0,FALSE,FALSE
0.55,0,FALSE,FALSE
0.5775,0,FALSE,FALSE
0.605,0,FALSE,FALSE
0.6325,0,FALSE,FALSE
0.66,0,FALSE,FALSE
0.6875,0,FALSE,FALSE
0.715,0,FALSE,FALSE
0.7425,0,FALSE,FALSE
0.77,0,FALSE,FALSE
0.7975,0,FALSE,FALSE
0.825,0,FALSE,FALSE
0.8525,0,FALSE,FALSE
0.88,0,FALSE,FALSE
0.9075,0,FALSE,FALSE
0.935,0,FALSE,FALSE
0.9625,0,FALSE,FALSE
0.99,0,FALSE,FALSE
1.0175,0,FALSE,FALSE
1.045,0,FALSE,FALSE
1.0725,0,FALSE,FALSE
1.1,0,FALSE,FALSE
1.1275,0,FALSE,FALSE
1.155,0,FALSE,FALSE
1.1825,0,FALSE,FALSE
1.21,0,FALSE,FALSE
1.2375,0,FALSE,FALSE
1.265,0,FALSE,FALSE
1.2925,0,FALSE,FALSE
1.32,0,FALSE,FALSE
1.3475,0,FALSE,FALSE
1.375,0,FALSE,FALSE
1.4025,0,FALSE,FALSE
1.43,0,FALSE,FALSE
1.4575,0,FALSE,FALSE
1.485,0,FALSE,FALSE
1.5125,0,FALSE,FALSE
1.54,0,FALSE,FALSE
1.5675,0,FALSE,FALSE
1.595,0,FALSE,FALSE
1.6225,0,FALSE,FALSE
1.65,0,FALSE,FALSE
1.6775,0,FALSE,FALSE
1.705,0,FALSE,FALSE
1.7325,0,FALSE,FALSE
1.76,0,FALSE,FALSE
1.7875,0,FALSE,FALSE
1.815,0,FALSE,FALSE
1.8425,0,FALSE,FALSE
1.87,0,FALSE,FALSE
1.8975,0,FALSE,FALSE
1.925,0,FALSE,FALSE
1.9525,0,FALSE,FALSE
1.98,0,FALSE,FALSE
2.0075,0,FALSE,FALSE
2.035,0,FALSE,FALSE
2.0625,0,FALSE,FALSE
2.09,0,FALSE,FALSE
2.1175,0,FALSE,FALSE
2.145,0,FALSE,FALSE
2.1725,0,FALSE,FALSE
2.2,0,FALSE,FALSE
2.2275,0,FALSE,FALSE
2.255,0,FALSE,FALSE
2.2825,0,FALSE,FALSE
2.31,0,FALSE,FALSE
2.3375,0,FALSE,FALSE
2.365,0,FALSE,FALSE
2.3925,0,FALSE,FALSE
2.42,0,FALSE,FALSE
2.4475,0,FALSE,FALSE
2.475,0,FALSE,FALSE
2.5025,0,FALSE,FALSE
2.53,0,FALSE,FALSE
2.5575,0,FALSE,FALSE
2.585,0,FALSE,FALSE
2.6125,0,FALSE,FALSE
2.64,0,FALSE,FALSE
2.6675,0,FALSE,FALSE
2.695,0,FALSE,FALSE
2.7225,0,FALSE,FALSE
2.75,0,FALSE,FALSE
2.7775,0,FALSE,FALSE
2.805,0,FALSE,FALSE
2.8325,0,FALSE,FALSE
2.86,0,FALSE,FALSE
2.8875,0,FALSE,FALSE
2.915,0,FALSE,FALSE
2.9425,0,FALSE,FALSE
2.97,0,FALSE,FALSE
2.9975,0,FALSE,FALSE
3.025,0,FALSE,FALSE
3.0525,0,FALSE,FALSE
3.08,0,FALSE,FALSE
3.1075,0,FALSE,FALSE
3.135,0,FALSE,FALSE
3.1625,0,FALSE,FALSE
3.19,0,FALSE,FALSE
3.2175,0,FALSE,FALSE
3.245,0,FALSE,FALSE
3.2725,0,FALSE,FALSE
3.3,0,FALSE,FALSE
3.3275,0,FALSE,FALSE
3.355,0,FALSE,FALSE
3.3825,0,FALSE,FALSE
3.41,0,FALSE,FALSE
3.4375,0,FALSE,FALSE
3.465,0,FALSE,FALSE
3.4925,0,FALSE,FALSE
3.52,0,FALSE,FALSE
3.5475,0,FALSE,FALSE
3.575,0,FALSE,FALSE
3.6025,0,FALSE,FALSE
3.63,0,FALSE,FALSE
3.6575,0,FALSE,FALSE
3.685,0,FALSE,FALSE
3.7125,0,FALSE,FALSE
3.74,0,FALSE,FALSE
3.7675,0,FALSE,FALSE
3.795,0,FALSE,FALSE
3.8225,0,FALSE,FALSE
3.85,0,FALSE,FALSE
3.8775,0,FALSE,FALSE
3.905,0,FALSE,FALSE
3.9325,0,FALSE,FALSE
3.96,0,FALSE,FALSE
3.9875,0,FALSE,FALSE
4.015,0,FALSE,FALSE
4.0425,0,FALSE,FALSE
4.07,0,FALSE,FALSE
4.0975,0,FALSE,FALSE
4.125,0,FALSE,FALSE
4.1525,0,FALSE,FALSE
4.18,0,FALSE,FALSE
4.2075,0,FALSE,FALSE
4.235,0,FALSE,FALSE
4.2625,0,FALSE,FALSE
4.29,0,FALSE,FALSE
4.3175,0,FALSE,FALSE
4.345,0,FALSE,FALSE
4.3725,0,FALSE,FALSE
4.4,0,FALSE,FALSE
4.4275,0,FALSE,FALSE
4.455,0,FALSE,FALSE
4.4825,0,FALSE,FALSE
4.51,0,FALSE,FALSE
4.5375,0,FALSE,FALSE
4.565,0,FALSE,FALSE
4.5925,0,FALSE,FALSE
4.62,0,FALSE,FALSE
4.6475,0,FALSE,FALSE
4.675,0,FALSE,FALSE
4.7025,0,FALSE,FALSE
4.73,0,FALSE,FALSE
4.7575,0,FALSE,FALSE
4.785,0,FALSE,FALSE
4.8125,0,FALSE,FALSE
4.84,0,FALSE,FALSE
4.8675,0,FALSE,FALSE
4.895,0,FALSE,FALSE
4.9225,0,FALSE,FALSE
4.95,0,FALSE,FALSE
4.9775,0,FALSE,FALSE
5.005,0,FALSE,FALSE
5.0325,0,FALSE,FALSE
5.06,0,FALSE,FALSE
5.0875,0,FALSE,FALSE
5.115,0,FALSE,FALSE
5.1425,0,FALSE,FALSE
5.17,0,FALSE,FALSE
5.1975,0,FALSE,FALSE
5.225,0,FALSE,FALSE
5.2525,0,FALSE,FALSE
5.28,0,FALSE,FALSE
5.3075,0,FALSE,FALSE
5.335,0,FALSE,FALSE
5.3625,0,FALSE,FALSE
5.39,0,FALSE,FALSE
5.4175,0,FALSE,FALSE
5.445,0,FALSE,FALSE
5.4725,0,FALSE,FALSE
5.5,0,FALSE,FALSE
5.5275,0,FALSE,FALSE
5.555,0,FALSE,FALSE
5.5825,0,FALSE,FALSE
5.61,0,FALSE,FALSE
5.6375,0,FALSE,FALSE
5.665,0,FALSE,FALSE
5.6925,0,FALSE,FALSE
5.72,0,FALSE,FALSE
5.7475,0,FALSE,FALSE
